Logged in as Trading Signal Bot#1902
Fetching messages from #paper-trading...
Fetched 730 messages.
Parsed 260 closed trades.
# Paper Trading Analysis

**Generated:** 3/29/2026, 10:34:49 AM
**Total Trades:** 260
**Win Rate:** 0.00% (0W/260L)
**Average R:** -0.95R
**Total P&L:** $-5241.00
**Final Equity:** $-4241.00
**Max Drawdown:** 524.10%

## Trade Details

| Asset | Direction | Entry | P&L ($) | R |
| ETH | ? | 2165.4548 | -55.30 | -1.00 |
| PEPE | ? | ? | -55.30 | -1.00 |
| BTC | ? | 71012.1748 | -58.21 | -1.00 |
| AERO | ? | 0.3523 | -58.21 | -1.00 |
| DOGE | ? | 0.0938 | -64.68 | -1.00 |
| AERO | ? | 0.3509 | -64.68 | -1.00 |
| SHIB | ? | ? | -68.08 | -1.00 |
| XRP | ? | 1.465 | -71.66 | -1.00 |
| BTC | ? | 71559.284 | -70.62 | -1.00 |
| ETH | ? | 2186.2964 | -67.74 | -1.00 |
| TAO | ? | 288.5576 | 0.00 | 0.00 |
| SHIB | ? | ? | -57.49 | -1.00 |
| DOGE | ? | 0.0932 | 0.00 | 0.00 |
| DOGE | ? | 0.0935 | 0.00 | 0.00 |
| SHIB | ? | ? | 0.00 | 0.00 |
| PEPE | ? | ? | 0.00 | 0.00 |
| ETH | ? | 2148.683 | 0.00 | 0.00 |
| SHIB | ? | ? | -45.00 | -1.00 |
| TAO | ? | 286.0001 | -50.00 | -1.00 |
| SHIB | ? | ? | -50.00 | -1.00 |
| AERO | ? | 0.3152 | -20.19 | -1.00 |
| TAO | ? | 264.9854 | 0.00 | 0.00 |
| AERO | ? | 0.3028 | -18.16 | -1.00 |
| DOGE | ? | 0.0905 | -18.09 | -1.00 |
| AERO | ? | 0.3059 | -18.09 | -1.00 |
| SHIB | ? | ? | -19.12 | -1.00 |
| DOGE | ? | 0.0904 | 0.00 | 0.00 |
| ETH | ? | 2034.3166 | -19.04 | -1.00 |
| TAO | ? | 273.1911 | -28.05 | -1.00 |
| SHIB | ? | ? | -22.72 | -1.00 |
| PEPE | ? | ? | -22.72 | -1.00 |
| AERO | ? | 0.3069 | -25.24 | -1.00 |
| TAO | ? | 274.1918 | -25.24 | -1.00 |
| AERO | ? | 0.3096 | -28.05 | -1.00 |
| DOGE | ? | 0.0915 | -28.05 | -1.00 |
| PEPE | ? | ? | 0.00 | 0.00 |
| TAO | ? | 262.5161 | -32.04 | -1.00 |
| AERO | ? | 0.3089 | -32.04 | -1.00 |
| DOGE | ? | 0.0907 | -32.04 | -1.00 |
| PEPE | ? | ? | -35.70 | -1.00 |
| ETH | ? | 2045.3872 | -37.58 | -1.00 |
| SOL | ? | 85.777 | -37.58 | -1.00 |
| SHIB | ? | ? | -2.73 | -0.07 |
| DOGE | ? | 0.0895 | -41.91 | -1.00 |
| TAO | ? | 262.2163 | -41.91 | -1.00 |
| ETH | ? | 2063.6145 | 0.00 | 0.00 |
| PEPE | ? | ? | 0.00 | 0.00 |
| XRP | ? | 1.384 | -37.93 | -1.00 |
| DOGE | ? | 0.0904 | -37.93 | -1.00 |
| TAO | ? | 269.776 | -39.93 | -1.00 |
| PEPE | ? | ? | -44.36 | -1.00 |
| TAO | ? | 273.6546 | -44.36 | -1.00 |
| SOL | ? | 87.0954 | -49.44 | -1.00 |
| PEPE | ? | ? | -52.04 | -1.00 |
| DOGE | ? | 0.091 | -52.04 | -1.00 |
| TAO | ? | 273.6914 | -54.78 | -1.00 |
| TAO | ? | 275.9931 | -57.66 | -1.00 |
| BTC | ? | 68378.4016 | -74.89 | -1.00 |
| BTC | ? | 68684.1041 | 0.00 | 0.00 |
| DOGE | ? | 0.0908 | -60.99 | -1.00 |
| TAO | ? | 270.3107 | -67.59 | -1.00 |
| AERO | ? | 0.3053 | -71.15 | -1.00 |
| PEPE | ? | ? | -74.89 | -1.00 |
| BTC | ? | 68910.2325 | 0.00 | 0.00 |
| PEPE | ? | ? | 0.00 | 0.00 |
| DOGE | ? | 0.0916 | 0.00 | 0.00 |
| TAO | ? | 277.9945 | 0.00 | 0.00 |
| AERO | ? | 0.3109 | 0.00 | 0.00 |
| TAO | ? | 276.0931 | 0.00 | 0.00 |
| SOL | ? | 89.0678 | -51.74 | -1.00 |
| TAO | ? | 276.5935 | -54.47 | -1.00 |
| TAO | ? | 275.6928 | -57.33 | -1.00 |
| TAO | ? | 274.7922 | 0.00 | 0.00 |
| PEPE | ? | ? | -51.55 | -1.00 |
| PEPE | ? | ? | -51.55 | -1.00 |
| BTC | ? | 70321.8 | 0.00 | 0.00 |
| BTC | ? | 70197.6862 | -50.06 | -1.00 |
| TAO | ? | 275.1 | 0.00 | 0.00 |
| ETH | ? | 2154.92 | -0.65 | -1.63 |
| SHIB | ? | ? | -0.42 | -1.04 |
| PEPE | ? | ? | -0.61 | -1.55 |
| ETH | ? | 2151.5 | -0.45 | -1.14 |
| SOL | ? | 89.6 | -0.44 | -1.07 |
| BTC | ? | 70330.6 | -0.48 | -1.24 |
| ETH | ? | 2144.75 | -0.40 | -1.03 |
| SOL | ? | 89.75 | 0.00 | 0.00 |
| DOGE | ? | 0.0941 | -0.42 | -1.02 |
| SHIB | ? | ? | -0.45 | -1.16 |
| DOGE | ? | 0.0939 | -0.46 | -1.15 |
| SHIB | ? | ? | -0.85 | -2.11 |
| DOGE | ? | 0.094 | -0.53 | -1.32 |
| SHIB | ? | ? | -0.60 | -1.47 |
| SHIB | ? | ? | -0.50 | -1.26 |
| SHIB | ? | ? | -0.60 | -1.48 |
| DOGE | ? | 0.0944 | 0.00 | 0.00 |
| ETH | ? | 2159.95 | -0.66 | -1.66 |
| PEPE | ? | ? | 0.00 | 0.00 |
| TAO | ? | 268.6 | -0.49 | -1.17 |
| HYPE | ? | 40.017 | -0.40 | -1.05 |
| BONK | ? | ? | -0.54 | -1.34 |
| SOL | ? | 89.89 | -0.42 | -1.07 |
| BTC | ? | 70586.7 | -0.41 | -1.03 |
| TAO | ? | 268.2 | -0.41 | -1.08 |
| TAO | ? | 270 | 0.00 | 0.00 |
| BTC | ? | 70574 | -0.62 | -1.63 |
| XRP | ? | 1.4399 | -1.02 | -2.57 |
| HYPE | ? | 39.568 | -0.59 | -1.50 |
| TAO | ? | 271.4 | -0.50 | -1.26 |
| SHIB | ? | ? | 0.00 | 0.00 |
| HYPE | ? | 39.652 | -0.48 | -1.22 |
| HYPE | ? | 39.48 | -0.42 | -1.03 |
| TAO | ? | 272.3 | 0.00 | 0.00 |
| BONK | ? | ? | -4.89 | -12.23 |
| BTC | ? | 70764 | -0.58 | -1.44 |
| HYPE | ? | 39.415 | -0.46 | -1.18 |
| PEPE | ? | ? | -0.45 | -1.07 |
| BONK | ? | ? | -0.42 | -1.03 |
| SHIB | ? | ? | 0.00 | 0.00 |
| AERO | ? | 0.3211 | 0.00 | 0.00 |
| TAO | ? | 276.7 | -0.47 | -1.28 |
| SHIB | ? | ? | -0.48 | -1.20 |
| TAO | ? | 272.7 | -1.47 | -5.67 |
| HYPE | ? | 39.571 | -0.44 | -1.08 |
| BTC | ? | 70724 | -0.44 | -1.09 |
| AERO | ? | 0.3208 | -0.47 | -1.14 |
| DOGE | ? | 0.0948 | -0.80 | -2.00 |
| BONK | ? | ? | -0.81 | -1.97 |
| XRP | ? | 1.447 | -0.53 | -1.31 |
| SOL | ? | 90.52 | -0.54 | -1.34 |
| ETH | ? | 2155.44 | -0.73 | -1.81 |
| SOL | ? | 90.7 | -0.59 | -1.53 |
| LINK | ? | 9.143 | -0.48 | -1.18 |
| SOL | ? | 90.44 | -0.51 | -1.25 |
| HYPE | ? | 39.732 | -0.54 | -1.28 |
| HYPE | ? | 39.74 | -0.50 | -1.26 |
| HYPE | ? | 39.734 | -0.68 | -1.62 |
| SHIB | ? | ? | 0.00 | 0.00 |
| SHIB | ? | ? | 0.00 | 0.00 |
| PEPE | ? | ? | -0.54 | -1.35 |
| BCH | ? | 470.92 | -0.47 | -1.19 |
| BCH | ? | 470.86 | -0.46 | -1.16 |
| BCH | ? | 470.5 | -0.46 | -1.12 |
| TAO | ? | 273 | 0.00 | 0.00 |
| DOGE | ? | 0.0947 | -0.41 | -1.01 |
| PEPE | ? | ? | -0.42 | -1.05 |
| BONK | ? | ? | 0.00 | 0.00 |
| TAO | ? | 273.5 | -0.71 | -1.78 |
| TRX | ? | 0.3078 | -1.66 | -4.13 |
| XRP | ? | 1.447 | -0.50 | -1.26 |
| LEO | ? | 9.223 | -0.54 | -1.38 |
| LEO | ? | 9.223 | -0.58 | -1.45 |
| TRX | ? | 0.3078 | -0.07 | -6.05 |
| SOL | ? | 90.39 | -0.44 | -1.08 |
| LINK | ? | 9.154 | -0.68 | -1.69 |
| DOGE | ? | 0.0949 | -0.81 | -2.00 |
| SOL | ? | 90.47 | -0.41 | -1.02 |
| LINK | ? | 9.155 | -0.67 | -1.67 |
| DOGE | ? | 0.0948 | -0.45 | -1.10 |
| BTC | ? | 70731.9 | -0.61 | -1.54 |
| XRP | ? | 1.447 | -0.50 | -1.27 |
| CC | ? | 0.1469 | -0.38 | -0.93 |
| TRX | ? | 0.3079 | 0.00 | 0.00 |
| ETH | ? | 2154.6 | -0.76 | -2.49 |
| CC | ? | 0.1462 | 0.00 | 0.00 |
| LEO | ? | 9.223 | -0.43 | -1.08 |

## Recommendations

- **Win rate is low (0.00%).** Consider tightening entry criteria or improving strategy filters.
- **Max drawdown is high (524.10%).** Review risk management (position sizing, stop losses).
- **Average R is low (-0.95).** Aim for at least 1.5R per trade.

Report saved to paper_trading_analysis.md
